taxon,nb_UVP5HD,nb_UVP5SD,nb_UVP6,regrouped1,regrouped2,regrouped3,lineage
Siphonophorae,2578,1275,122,Siphonophorae,Cnidaria,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae
Narcomedusae,103,2317,113,Narcomedusae,Cnidaria,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylina/Narcomedusae
Trachymedusae,,,87,Cnidaria_others,Cnidaria,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylina/Trachymedusae
Ctenophora,1092,1408,204,Ctenophora,Ctenophora,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora
Echinodermata,,,104,other_living,other_living,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Echinodermata
Gymnosomata,59,55,,Mollusca_others,Mollusca,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca
Limacinidae,922,7,,Mollusca_others,Mollusca,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca
Cephalopoda,17,37,,Mollusca_others,Mollusca,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca
Mollusca_others,455,3533,,Mollusca_others,Mollusca,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca
Creseis,,,153,Thecosomata,Mollusca,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Creseidae/Creseis/Creseis
Thecosomata,,,185,Thecosomata,Mollusca,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Thecosomata
Thecosomata_cavo_or_creseis,134,287,,Thecosomata,Mollusca,other,/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Thecosomata
other_living,,,1583,other_living,other_living,other,/living/other
darksphere,,,340,other_living,other_living,other,/living/other/othertocheck/darksphere
artefact,596569,623426,30139,artefact,artefact,other,/not-living/artefact
bubble,2683,12012,,artefact,artefact,other,/not-living/artefact/bubble
reflection,,,4593,artefact,artefact,other,/not-living/artefact/reflection
turbid,6478,20583,,artefact,artefact,other,/not-living/artefact/turbid
crystal,,,3770,artefact,artefact,other,/not-living/crystal
detritus,2271542,5752954,508817,detritus,detritus,other,/not-living/detritus
fiber,,,32592,detritus,detritus,other,/not-living/detritus/fiber
filament,,,3306,detritus,detritus,other,/not-living/detritus/filament
t004,,,249,other_living,other_living,other,/temporary/t004
t011,,,111,other_living,other_living,other,/temporary/t011
